"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"UTIAMC","UTI Asset Management Company Limited","7(2)","Hitesh Ramani","Employees/Designated Employees","Equity Shares","1963","0",,"300","381600","Sell","Equity Shares","1663","0","18-Sep-2024","18-Sep-2024","09-Oct-2024","Market Sale","-","-","0","0","0","0","NSE","-","09-Oct-2024 16:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172471_1263446_09102024045610_WEB.xml"
"AVANTEL","Avantel Limited","7(2)","Lakshmee Foundation","Promoter Group","Equity Shares","4500000","1.85",,"900000","160083000","Sell","Equity Shares","3600000","1.48","08-Oct-2024","08-Oct-2024","09-Oct-2024","Market Sale","-","-","0","0","0","0","NSE","-","09-Oct-2024 12:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172466_1262680_09102024121712_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Amit Desai","Employees/Designated Employees","Equity Shares","4540","0",,"1000","3164850","Sell","Equity Shares","3540","0","26-Sep-2024","26-Sep-2024","08-Oct-2024","Market Sale","-","-","0","0","0","0","NSE","-","08-Oct-2024 20:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172464_1262361_08102024081311_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","4776290","0.18",,"12858","22843523","Sell","Equity Shares","4763432","0.17","05-Oct-2024","05-Oct-2024","08-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","08-Oct-2024 19:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172462_1262323_08102024071642_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","4856466","0.18",,"80176","142552928","Sell","Equity Shares","4776290","0.18","04-Oct-2024","04-Oct-2024","08-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","08-Oct-2024 19:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172460_1262317_08102024071454_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","4897297","0.18",,"40831","72597518","Sell","Equity Shares","4856466","0.18","03-Oct-2024","03-Oct-2024","07-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","08-Oct-2024 19:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172458_1262309_08102024071212_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Info Edge Employees Stock Option Plan Trust","Other","Equity Shares","283759","0.22",,"2170","21700","Sell","Equity Shares","281589","0.22","03-Oct-2024","03-Oct-2024","07-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","08-Oct-2024 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172456_1261884_08102024044928_WEB.xml"
"MKPL","M K Proteins Limited","7(2)","-","-",,"-","0",,,"-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","-","-","08-Oct-2024 12:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml"
"MKPL","M K Proteins Limited","7(2)","PARMOD KUMAR","Key Managerial Personnel","Equity Shares","Nil","0",,"7500000","0","Buy","Equity Shares","7500000","2","04-Oct-2024","04-Oct-2024","07-Oct-2024","Off Market","-","-","0","0","0","0","NA","-","08-Oct-2024 12:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml"
"MKPL","M K Proteins Limited","7(2)","MANIK GARG","Promoter Group","Equity Shares","5040000","1.34",,"9570000","0","Buy","Equity Shares","14610000","3.89","04-Oct-2024","04-Oct-2024","07-Oct-2024","Off Market","-","-","0","0","0","0","NA","-","08-Oct-2024 12:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml"
"MKPL","M K Proteins Limited","7(2)","NEELESH GARG","Promoter Group","Equity Shares","10800000","2.88",,"3810000","0","Buy","Equity Shares","14610000","3.89","04-Oct-2024","04-Oct-2024","07-Oct-2024","Off Market","-","-","0","0","0","0","NA","-","08-Oct-2024 12:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml"
"MKPL","M K Proteins Limited","7(2)","PARMOD KUMAR HUF","Promoters","Equity Shares","20880000","5.56",,"20880000","0","Sell","Equity Shares","Nil","0","04-Oct-2024","04-Oct-2024","07-Oct-2024","Off Market","-","-","0","0","0","0","NA","-","08-Oct-2024 12:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml"
"MKPL","M K Proteins Limited","7(2)","PARMOD KUMAR HUF","Promoters","Equity Shares","20880000","5.56",,"20880000","0","Sell","Equity Shares","Nil","0","04-Oct-2024","04-Oct-2024","07-Oct-2024","Off Market","-","-","0","0","0","0","NA","-","08-Oct-2024 12:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml"
"AVALON","Avalon Technologies Limited","7(2)","Anandha Sowmya","-","Equity Shares","3345","0",,"1408","814371","Sell","Equity Shares","1937","0","23-Sep-2024","23-Sep-2024","08-Oct-2024","Market Sale","-","-","0","0","0","0","NSE","-","08-Oct-2024 11:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172452_1261139_08102024114000_WEB.xml"
"AVALON","Avalon Technologies Limited","7(2)","Anandha Sowmya","-","Equity Shares","3937","0",,"592","345910","Sell","Equity Shares","3345","0","23-Sep-2024","23-Sep-2024","08-Oct-2024","Market Sale","-","-","0","0","0","0","BSE","-","08-Oct-2024 11:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172452_1261139_08102024114000_WEB.xml"
"AVALON","Avalon Technologies Limited","7(2)","Shankar Venkatesan","-","Equity Shares","3975","0",,"3975","1500000","Sell","Equity Shares","Nil","0","23-Sep-2024","23-Sep-2024","08-Oct-2024","Market Sale","-","-","0","0","0","0","NSE","-","08-Oct-2024 11:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172450_1261120_08102024112601_WEB.xml"
"SAKHTISUG","Sakthi Sugars Limited","7(2)","ABT INVESTMENTS (INDIA) PRIVATE LIMITED","Promoter Group","Equity Shares","66473540","55.93",,"20000000","835000000","Pledge Revoke","Equity Shares","66473540","55.93","04-Oct-2024","04-Oct-2024","05-Oct-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","08-Oct-2024 10:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172448_1261066_08102024105101_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Rakesh Chaturvedi","-","Equity Shares","9000","0.01",,"3000","1365000","Sell","Equity Shares","6000","0.01","12-Sep-2024","12-Sep-2024","12-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172446_1260978_07102024075340_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Sanjay Moolchandani","-","Equity Shares","15175","0",,"4000","1810675","Pledge Revoke","Equity Shares","15175","0","12-Sep-2024","12-Sep-2024","12-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172446_1260978_07102024075340_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Sanjay Moolchandani","-","Equity Shares","15175","0",,"4000","1810675","Sell","Equity Shares","11175","0","12-Sep-2024","12-Sep-2024","12-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172446_1260978_07102024075340_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","4948331","0.18",,"51034","91350860","Sell","Equity Shares","4897297","0.18","01-Oct-2024","01-Oct-2024","04-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","07-Oct-2024 19:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172444_1260975_07102024075055_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Sreekanth V N","-","Equity Shares","24548","0.01",,"15000","6375000","Pledge Revoke","Equity Shares","24548","0.01","10-Sep-2024","10-Sep-2024","11-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Rajesh Viswanathan","-","Equity Shares","70000","0.02",,"22500","9639000","Pledge","Equity Shares","70000","0.02","09-Sep-2024","09-Sep-2024","11-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Sreekanth V N","-","Equity Shares","24548","0.01",,"9548","4057900","Pledge Revoke","Equity Shares","24548","0.01","10-Sep-2024","10-Sep-2024","11-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Sreekanth V N","-","Equity Shares","24548","0.01",,"24548","10432900","Pledge","Equity Shares","24548","0.01","09-Sep-2024","09-Sep-2024","11-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Sanjay Moolchandani","-","Equity Shares","15175","0",,"1505","644742","Pledge","Equity Shares","15175","0","09-Sep-2024","09-Sep-2024","11-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Sandeep Jain","-","Equity Shares","114736","0.03",,"34740","15111900","Pledge","Equity Shares","114736","0.03","09-Sep-2024","09-Sep-2024","11-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Rakesh Chaturvedi","-","Equity Shares","10000","0",,"1000","439000","Sell","Equity Shares","9000","0","11-Sep-2024","11-Sep-2024","11-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Nirav Shah","-","Equity Shares","25000","0.01",,"20000","8700000","Pledge","Equity Shares","25000","0.01","09-Sep-2024","09-Sep-2024","11-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Madhur Bhatnagar","-","Equity Shares","25000","0.01",,"25000","10710000","Pledge","Equity Shares","25000","0.01","09-Sep-2024","09-Sep-2024","11-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Jasmine Misquitta","-","Equity Shares","4232","0",,"4232","1684759","Pledge","Equity Shares","4232","0","09-Sep-2024","09-Sep-2024","11-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anmol Gupta","-","Equity Shares","191482","0.04",,"11500","5018600","Pledge Revoke","Equity Shares","191482","0.04","10-Sep-2024","10-Sep-2024","11-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","R Anil Kumar Nair","-","Equity Shares","78880","0.02",,"20000","8568000","Pledge","Equity Shares","78880","0.02","10-Sep-2024","10-Sep-2024","11-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Suraj Shetty","-","Equity Shares","36190","0.01",,"7845","3360798","Pledge","Equity Shares","36190","0.01","09-Sep-2024","09-Sep-2024","11-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","07-Oct-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172442_1260972_07102024074612_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Rakesh Chaturvedi","-","Equity Shares","10000","0.01",,"10000","4284000","Pledge","Equity Shares","10000","0.01","09-Sep-2024","09-Sep-2024","10-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","07-Oct-2024 19:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172440_1260962_07102024073616_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Rakesh Chaturvedi","-","Equity Shares","10000","0.01",,"10000","4284000","Pledge Revoke","Equity Shares","10000","0.01","09-Sep-2024","09-Sep-2024","10-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172440_1260962_07102024073616_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Aniket Rane","-","Equity Shares","6090","0",,"2870","1223283","Sell","Equity Shares","3220","0","05-Sep-2024","05-Sep-2024","09-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172438_1260948_07102024072703_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Aniket Rane","-","Equity Shares","6090","0",,"6090","2595748","Pledge Revoke","Equity Shares","6090","0","05-Sep-2024","05-Sep-2024","09-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172438_1260948_07102024072703_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Nirav Buch","-","Equity Shares","29240","0.01",,"2000","834000","Sell","Equity Shares","27240","0.01","03-Sep-2024","03-Sep-2024","06-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172436_1260942_07102024072129_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Nirav Shah","-","Equity Shares","26989","0",,"1989","890495","Sell","Equity Shares","25000","0","06-Sep-2024","06-Sep-2024","07-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172436_1260942_07102024072129_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anmol Gupta","-","Equity Shares","192482","0.05",,"1000","450000","Sell","Equity Shares","191482","0.05","06-Sep-2024","06-Sep-2024","07-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172436_1260942_07102024072129_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anil Jain","-","Equity Shares","72406","0.02",,"5000","2249500","Sell","Equity Shares","67406","0.02","06-Sep-2024","06-Sep-2024","06-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172436_1260942_07102024072129_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Haryyaksha Ghosh","-","Equity Shares","33080","0.01",,"5000","21211747","Sell","Equity Shares","28080","0.01","05-Sep-2024","05-Sep-2024","06-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172436_1260942_07102024072129_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Haryyaksha Ghosh","-","Equity Shares","33080","0.01",,"5000","21211747","Pledge Revoke","Equity Shares","33080","0.01","05-Sep-2024","05-Sep-2024","06-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172436_1260942_07102024072129_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anmol Gupta","-","Equity Shares","192982","0.05",,"500","215000","Sell","Equity Shares","192482","0.05","05-Sep-2024","05-Sep-2024","06-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172436_1260942_07102024072129_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anmol Gupta","-","Equity Shares","192982","0.05",,"500","215000","Pledge Revoke","Equity Shares","192982","0.05","05-Sep-2024","05-Sep-2024","06-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172436_1260942_07102024072129_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anmol Gupta","-","Equity Shares","192482","0.05",,"1000","450000","Pledge Revoke","Equity Shares","192482","0.05","06-Sep-2024","06-Sep-2024","07-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172436_1260942_07102024072129_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anil Jain","-","Equity Shares","74406","0.02",,"2000","869800","Pledge Revoke","Equity Shares","74406","0.02","05-Sep-2024","05-Sep-2024","05-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172434_1260936_07102024071550_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anil Jain","-","Equity Shares","74406","0.02",,"2000","869800","Sell","Equity Shares","72406","0.02","05-Sep-2024","05-Sep-2024","05-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172434_1260936_07102024071550_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Shrikant Patil","-","Equity Shares","40403","0.01",,"10000","4245668","Sell","Equity Shares","30403","0.01","03-Sep-2024","03-Sep-2024","05-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172434_1260936_07102024071550_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Sanjay Moolchandani","-","Equity Shares","20175","0.01",,"5000","2077000","Sell","Equity Shares","15175","0","03-Sep-2024","03-Sep-2024","05-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172434_1260936_07102024071550_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Sanjay Moolchandani","-","Equity Shares","20175","0.01",,"5000","2077000","Pledge Revoke","Equity Shares","20175","0","03-Sep-2024","03-Sep-2024","05-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172434_1260936_07102024071550_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Vinit Tiwari","-","Equity Shares","8886","0",,"8886","3701019","Pledge Revoke","Equity Shares","8886","0","05-Sep-2024","05-Sep-2024","05-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172434_1260936_07102024071550_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Pratik Jariwala","-","Equity Shares","7981","0",,"6878","2864687","Pledge Revoke","Equity Shares","7981","0","04-Sep-2024","04-Sep-2024","05-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172434_1260936_07102024071550_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Haryyaksha Ghosh","-","Equity Shares","33081","0.02",,"1","415","Pledge Revoke","Equity Shares","33081","0.02","04-Sep-2024","04-Sep-2024","05-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172434_1260936_07102024071550_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Haryyaksha Ghosh","-","Equity Shares","33081","0.02",,"1","415","Sell","Equity Shares","33080","0.02","04-Sep-2024","04-Sep-2024","05-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172434_1260936_07102024071550_WEB.xml"
"UTIAMC","UTI Asset Management Company Limited","7(2)","Niranjan Das","Employees/Designated Employees","Equity Shares","Nil","0",,"400","416860","Buy","Equity Shares","400","0","18-Jul-2024","18-Jul-2024","07-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","07-Oct-2024 19:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172432_1260929_07102024071238_WEB.xml"
"UTIAMC","UTI Asset Management Company Limited","7(2)","Niranjan Das","Employees/Designated Employees","Equity Shares","400","0",,"400","419247","Sell","Equity Shares","Nil","0","16-Aug-2024","16-Aug-2024","07-Oct-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172432_1260929_07102024071238_WEB.xml"
"UTIAMC","UTI Asset Management Company Limited","7(2)","Niranjan Das","Employees/Designated Employees","Equity Shares","Nil","0",,"400","508460","Buy","Equity Shares","400","0","12-Sep-2024","12-Sep-2024","07-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","07-Oct-2024 19:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172432_1260929_07102024071238_WEB.xml"
"UTIAMC","UTI Asset Management Company Limited","7(2)","Niranjan Das","Employees/Designated Employees","Equity Shares","400","0",,"400","522018","Sell","Equity Shares","Nil","0","16-Sep-2024","16-Sep-2024","07-Oct-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172432_1260929_07102024071238_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anil Jain","-","Equity Shares","76406","0.02",,"1000","395000","Sell","Equity Shares","75406","0.02","03-Sep-2024","03-Sep-2024","04-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172431_1260924_07102024070932_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anil Jain","-","Equity Shares","75406","0.02",,"1000","425000","Sell","Equity Shares","74406","0.02","03-Sep-2024","03-Sep-2024","04-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172431_1260924_07102024070932_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Brijesh Kumar Goswami","-","Equity Shares","13000","0",,"3000","1251640","Sell","Equity Shares","10000","0","04-Sep-2024","04-Sep-2024","04-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172431_1260924_07102024070932_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Pratik Jariwala","-","Equity Shares","13739","0",,"5758","2355039","Pledge Revoke","Equity Shares","13739","0","03-Sep-2024","03-Sep-2024","04-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172431_1260924_07102024070932_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Pratik Jariwala","-","Equity Shares","13739","0",,"5758","2355039","Sell","Equity Shares","7981","0","03-Sep-2024","03-Sep-2024","04-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172431_1260924_07102024070932_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Uma R","-","Equity Shares","4831","0",,"1000","403553","Sell","Equity Shares","3831","0","03-Sep-2024","03-Sep-2024","04-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172431_1260924_07102024070932_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Suraj Shetty","-","Equity Shares","41195","0.01",,"5005","2086184","Sell","Equity Shares","36190","0.01","03-Sep-2024","03-Sep-2024","04-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","07-Oct-2024 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172431_1260924_07102024070932_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Vinit Tiwari","-","Equity Shares","20886","0.01",,"12000","4893802","Pledge Revoke","Equity Shares","20886","0.01","03-Sep-2024","03-Sep-2024","04-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","07-Oct-2024 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172431_1260924_07102024070932_WEB.xml"
